,accuracy,loss,triggers,iteration
0,0.9166666666666666,0.20664530992507935,the_the_the,0
1,0.8986486486486487,0.24320106208324432,mn_##horn_wa,1
2,0.8806306306306306,0.28261685371398926,ee_troll_##orf,2
3,0.759009009009009,0.4668835699558258,tel_##ronia_##nsed,3
4,0.7004504504504504,0.6494422554969788,##pro_##tort_bankrupt,4
5,0.7117117117117117,0.6124805212020874,##hem_##uled_jammed,5
6,0.6914414414414415,0.6694892048835754,##com_als_dept,6
7,0.545045045045045,1.0416818857192993,##gno_piss_stink,7
8,0.5833333333333334,0.9630461931228638,##gno_frustration_##iso,8
9,0.5563063063063063,1.0587292909622192,air_##mp_##load,9
10,0.4954954954954955,1.2373367547988892,air_##hyl_##ammed,10
11,0.44594594594594594,1.3757110834121704,##com_##rove_rubbish,11
12,0.4617117117117117,1.357153296470642,##com_reg_##athy,12
13,0.4189189189189189,1.4586799144744873,##com_##xon_stiff,13
14,0.40315315315315314,1.5256646871566772,##com_##yam_dilapidated,14
15,0.49774774774774777,1.2738784551620483,##com_##roup_##oven,15
16,0.4864864864864865,1.3068656921386719,##com_##dication_least,16
